time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,39,12,0,0
2026-04-18 00:00:00+00:00,33,11,0,0
2026-04-19 00:00:00+00:00,24,10,0,0
2026-04-20 00:00:00+00:00,65,25,0,0
2026-04-21 00:00:00+00:00,38,20,0,0
2026-04-22 00:00:00+00:00,86,33,0,0
2026-04-23 00:00:00+00:00,62,21,0,0
2026-04-24 00:00:00+00:00,74,24,4,1
2026-04-25 00:00:00+00:00,59,22,0,0
2026-04-26 00:00:00+00:00,34,10,0,0
2026-04-27 00:00:00+00:00,393,120,15,1
2026-04-28 00:00:00+00:00,20,7,0,0
2026-04-29 00:00:00+00:00,84,20,0,0
2026-04-30 00:00:00+00:00,24,9,0,0
