time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,5,4,0,0
2024-06-11 00:00:00+00:00,61,29,129,2
2024-06-12 00:00:00+00:00,16,10,36,2
2024-06-13 00:00:00+00:00,2,2,0,0
2024-06-14 00:00:00+00:00,3,3,4,2
2024-06-15 00:00:00+00:00,1,1,0,0
2024-06-16 00:00:00+00:00,15,8,11,1
2024-06-17 00:00:00+00:00,4,3,0,0
2024-06-18 00:00:00+00:00,7,5,8,1
2024-06-19 00:00:00+00:00,6,3,0,0
2024-06-20 00:00:00+00:00,10,5,3,1
2024-06-21 00:00:00+00:00,5,3,5,1
2024-06-22 00:00:00+00:00,2,2,1,1
2024-06-23 00:00:00+00:00,1,1,1,1
2024-06-24 00:00:00+00:00,2,1,0,0
2024-06-25 00:00:00+00:00,2,2,8,1
2024-06-26 00:00:00+00:00,2,2,0,0
2024-06-27 00:00:00+00:00,1,1,0,0
2024-06-28 00:00:00+00:00,3,2,0,0
2024-06-29 00:00:00+00:00,1,1,0,0
2024-06-30 00:00:00+00:00,4,2,0,0
2024-07-01 00:00:00+00:00,3,2,0,0
2024-07-02 00:00:00+00:00,1,1,0,0
2024-07-03 00:00:00+00:00,1,1,0,0
2024-07-04 00:00:00+00:00,3,2,0,0
2024-07-05 00:00:00+00:00,6,3,0,0
2024-07-06 00:00:00+00:00,1,1,0,0
2024-07-07 00:00:00+00:00,1,1,0,0
2024-07-08 00:00:00+00:00,2,1,6,1
2024-07-09 00:00:00+00:00,1,1,2,1
2024-07-10 00:00:00+00:00,1,1,0,0
2024-07-11 00:00:00+00:00,6,3,0,0
2024-07-12 00:00:00+00:00,1,1,0,0
2024-07-13 00:00:00+00:00,4,2,0,0
2024-07-14 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,4,2,0,0
2024-07-16 00:00:00+00:00,4,2,3,1
2024-07-17 00:00:00+00:00,5,3,0,0
2024-07-18 00:00:00+00:00,1,1,0,0
2024-07-19 00:00:00+00:00,5,3,0,0
2024-07-20 00:00:00+00:00,4,2,0,0
2024-07-21 00:00:00+00:00,4,3,0,0
2024-07-22 00:00:00+00:00,2,1,0,0
2024-07-23 00:00:00+00:00,5,2,6,1
2024-07-24 00:00:00+00:00,3,2,48,2
2024-07-25 00:00:00+00:00,4,2,7,2
2024-07-26 00:00:00+00:00,5,4,0,0
2024-07-27 00:00:00+00:00,1,1,0,0
2024-07-28 00:00:00+00:00,1,1,0,0
2024-07-29 00:00:00+00:00,2,2,0,0
2024-07-30 00:00:00+00:00,2,1,3,1
2024-07-31 00:00:00+00:00,12,5,65,2
2024-08-01 00:00:00+00:00,7,2,88,2
2024-08-02 00:00:00+00:00,6,4,13,1
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,2,2,0,0
2024-08-05 00:00:00+00:00,3,3,0,0
2024-08-06 00:00:00+00:00,5,4,0,0
2024-08-07 00:00:00+00:00,2,1,0,0
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,5,3,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,3,2,0,0
2024-08-12 00:00:00+00:00,2,2,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,3,2,0,0
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,5,2,0,0
2024-08-17 00:00:00+00:00,5,5,0,0
2024-08-18 00:00:00+00:00,5,2,0,0
2024-08-19 00:00:00+00:00,2,2,0,0
2024-08-20 00:00:00+00:00,7,4,0,0
2024-08-21 00:00:00+00:00,3,2,0,0
2024-08-22 00:00:00+00:00,1,1,0,0
